id,workbook_row,variable,meaning,priority,mode,implementation,evidence_group,mapping,remaining_work
I033,16,Command Audit.LastCommandAuthority,Authority held when the request was evaluated.,Required,Both,contract-pending,audit,No authenticated command-class/requester/authority provenance,Define trusted identity propagation and board enforcement; never label ZMQ routing IDs as authenticated principals.
I034,17,Command Audit.LastCommandRoute,Logical board/mezzanine/AFE/channel route used for the request.,Required,Both,partial,audit,ServerState.last_configuration_result; executor_request_type/task_id/request_msg_id while busy,"Record every accepted/rejected mutation with stable ID/name/route/correlation and terminal outcome, not only Configure."
I035,18,Command Audit.LastCommandCorrelationId,Transport correlation identifier for request/reply audit.,Required,Both,partial,audit,ServerState.last_configuration_result; executor_request_type/task_id/request_msg_id while busy,"Record every accepted/rejected mutation with stable ID/name/route/correlation and terminal outcome, not only Configure."
I036,19,Command Audit.LastCommandRequestTime,UTC source time at request receipt.,Required,Both,partial,audit,ConfigurationResult.started_monotonic_ns at executor start,Add actual receipt time and queue/execution distinction with wall-clock quality; monotonic executor start is not UTC receipt.
I037,20,Command Audit.LastCommandCompletionTime,UTC source time at terminal completion.,Required,Both,partial,audit,ConfigurationResult.completed_monotonic_ns/completed_host_unix_ns,Extend terminal event time to all mutations and retain unverified UTC quality.
I038,21,Command Audit.LastCommandState,"Rejected, Accepted, Running, Succeeded, Failed, or TimedOut.",Required,Both,partial,audit,ServerState.last_configuration_result; executor_request_type/task_id/request_msg_id while busy,"Record every accepted/rejected mutation with stable ID/name/route/correlation and terminal outcome, not only Configure."
I039,22,Command Audit.LastCommandResult,Bounded completion or rejection detail.,Required,Both,partial,audit,ServerState.last_configuration_result; executor_request_type/task_id/request_msg_id while busy,"Record every accepted/rejected mutation with stable ID/name/route/correlation and terminal outcome, not only Configure."
I040,23,Command Audit.LastCommandReadbackVerified,Required physical/readback postcondition was verified.,Required,Both,partial,audit,Configure hardware_started/applied hash; selected low-level AFE readback checks,Define and record per-command required physical/readback postconditions; execution/hash alone is not verified readback.
I047,24,Identity.SomProduct,K26 SOM product decoded from EEPROM.,Required,Both,missing,identity,No server SOM EEPROM/carrier/factory-MAC identity export,Add checksum-validated read-only SOM identity and sourced carrier revision; do not infer FRU presence or alter EEPROM/network.
I048,25,Identity.SomSerial,K26 SOM serial decoded from EEPROM.,Required,Both,missing,identity,No server SOM EEPROM/carrier/factory-MAC identity export,Add checksum-validated read-only SOM identity and sourced carrier revision; do not infer FRU presence or alter EEPROM/network.
I049,26,Identity.SomUuid,K26 SOM UUID decoded from EEPROM.,Required,Both,missing,identity,No server SOM EEPROM/carrier/factory-MAC identity export,Add checksum-validated read-only SOM identity and sourced carrier revision; do not infer FRU presence or alter EEPROM/network.
I050,27,Identity.CarrierRevision,DAPHNE carrier revision; no carrier FRU is populated.,Required,Both,missing,identity,No server SOM EEPROM/carrier/factory-MAC identity export,Add checksum-validated read-only SOM identity and sourced carrier revision; do not infer FRU presence or alter EEPROM/network.
I051,28,Identity.FactoryMac,Checksum-valid K26 OEM MAC ID 0.,Required,Both,missing,identity,No server SOM EEPROM/carrier/factory-MAC identity export,Add checksum-validated read-only SOM identity and sourced carrier revision; do not infer FRU presence or alter EEPROM/network.
I053,29,Identity.MacIdentityMatch,"EEPROM, HWDB, U-Boot, FDT, Linux and network-admission MACs agree.",Required,Both,partial,identity,BoardIdentityStatus.binding_state: live controller/MAC/IPv4 versus protected baseline,Add separately sourced EEPROM/HWDB/U-Boot/FDT/admission comparison; current binding match does not establish all layers.
I054,30,Identity.Hostname,Running Linux hostname.,Required,Both,partial,host_name,SystemStatusSnapshot.hostname from uname.nodename,Add individual availability/quality/source/times and failure handling; global status success is not hostname validity.
I056,31,Identity.HostnameMatch,Runtime hostname equals the assigned value.,Required,Both,missing,identity,No assigned-hostname field/comparison,Obtain approved hostname assignment and compare exact normalized runtime observation without writing network settings.
I062,32,Identity.RegisterMapVersion,Gateware register-map/interface version.,Required,Both,implemented,fpga,GatewareIdentityStatus.abi,No additional producer gap identified; mode/ABI hardware qualifications remain bounded.
I063,33,Management Network.Name,Linux network interface name. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,implemented,network,BoardIdentityStatus.management.interface_name (private details opt-in),Requires the explicitly configured identity binding; no implicit interface guessing.
I064,34,Management Network.MacAddress,Active interface MAC address. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,implemented,network,"BoardIdentityStatus.management.mac_address (optional, private details opt-in)","Current MAC observation, not permanent/factory MAC; preserve the CERN assignment."
I065,35,Management Network.PermanentMacAddress,Driver-reported permanent MAC when available. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,missing,network,No permanent-MAC collector,Add driver-reported permanent MAC with independent availability/source; never substitute current MAC.
I066,36,Management Network.Ipv4Address,Active IPv4 address. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,implemented,network,"BoardIdentityStatus.management.ipv4_cidrs (address plus prefix, private details opt-in)",Multiple active addresses are preserved; consumer must not choose an arbitrary first address.
I067,37,Management Network.PrefixLength,IPv4 prefix length. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,implemented,network,"BoardIdentityStatus.management.ipv4_cidrs (address plus prefix, private details opt-in)",Multiple active addresses are preserved; consumer must not choose an arbitrary first address.
I068,38,Management Network.DefaultGateway,Selected default IPv4 gateway. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,missing,network,No default-route/DNS/assigned-VLAN export,Define interface-scoped route/DNS selection and source assigned VLAN from approved inventory; keep values private and do not reconfigure.
I069,39,Management Network.DnsServers,Configured DNS server list. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,missing,network,No default-route/DNS/assigned-VLAN export,Define interface-scoped route/DNS selection and source assigned VLAN from approved inventory; keep values private and do not reconfigure.
I070,40,Management Network.VlanId,Assigned VLAN identifier where applicable. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,missing,network,No default-route/DNS/assigned-VLAN export,Define interface-scoped route/DNS selection and source assigned VLAN from approved inventory; keep values private and do not reconfigure.
I071,41,Management Network.OperationalState,Kernel/network-manager operational state. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,implemented,network,ManagementNetworkObservation.link.observations selected by ManagementLinkMetric,"Individual quality/times and unit checks exist; no end-to-end reachability, counter epoch or rate inference."
I072,42,Management Network.Carrier,Physical carrier is present. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,implemented,network,ManagementNetworkObservation.link.observations selected by ManagementLinkMetric,"Individual quality/times and unit checks exist; no end-to-end reachability, counter epoch or rate inference."
I073,43,Management Network.SpeedMbps,Negotiated link speed. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,implemented,network,ManagementNetworkObservation.link.observations selected by ManagementLinkMetric,"Individual quality/times and unit checks exist; no end-to-end reachability, counter epoch or rate inference."
I074,44,Management Network.Duplex,Negotiated duplex mode. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,implemented,network,ManagementNetworkObservation.link.observations selected by ManagementLinkMetric,"Individual quality/times and unit checks exist; no end-to-end reachability, counter epoch or rate inference."
I075,45,Management Network.MtuBytes,Configured interface MTU. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,implemented,network,ManagementNetworkObservation.link.observations selected by ManagementLinkMetric,"Individual quality/times and unit checks exist; no end-to-end reachability, counter epoch or rate inference."
I076,46,Management Network.RxBytes,Cumulative received bytes. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,implemented,network,ManagementNetworkObservation.link.observations selected by ManagementLinkMetric,"Individual quality/times and unit checks exist; no end-to-end reachability, counter epoch or rate inference."
I077,47,Management Network.RxPackets,Cumulative received packets. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,implemented,network,ManagementNetworkObservation.link.observations selected by ManagementLinkMetric,"Individual quality/times and unit checks exist; no end-to-end reachability, counter epoch or rate inference."
I078,48,Management Network.RxErrors,Cumulative receive errors. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,implemented,network,ManagementNetworkObservation.link.observations selected by ManagementLinkMetric,"Individual quality/times and unit checks exist; no end-to-end reachability, counter epoch or rate inference."
I079,49,Management Network.RxDropped,Cumulative receive drops. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,implemented,network,ManagementNetworkObservation.link.observations selected by ManagementLinkMetric,"Individual quality/times and unit checks exist; no end-to-end reachability, counter epoch or rate inference."
I080,50,Management Network.TxBytes,Cumulative transmitted bytes. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,implemented,network,ManagementNetworkObservation.link.observations selected by ManagementLinkMetric,"Individual quality/times and unit checks exist; no end-to-end reachability, counter epoch or rate inference."
I081,51,Management Network.TxPackets,Cumulative transmitted packets. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,implemented,network,ManagementNetworkObservation.link.observations selected by ManagementLinkMetric,"Individual quality/times and unit checks exist; no end-to-end reachability, counter epoch or rate inference."
I082,52,Management Network.TxErrors,Cumulative transmit errors. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,implemented,network,ManagementNetworkObservation.link.observations selected by ManagementLinkMetric,"Individual quality/times and unit checks exist; no end-to-end reachability, counter epoch or rate inference."
I083,53,Management Network.TxDropped,Cumulative transmit drops. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,implemented,network,ManagementNetworkObservation.link.observations selected by ManagementLinkMetric,"Individual quality/times and unit checks exist; no end-to-end reachability, counter epoch or rate inference."
I084,54,Management Network.LinkChangeCount,Observed carrier/operational-state transitions. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,partial,network,MANAGEMENT_LINK_CARRIER_CHANGES from sysfs carrier_changes,Only carrier changes are counted; operational-state transitions and durable reset/boot epoch are not tracked.
I085,55,Management Network.ConfigurationMatch,MAC/IP/prefix/gateway/VLAN match the deployment inventory. Describes the shared board control GbE interface; it is not a per-data-link MAC/IP value.,Required,Both,partial,identity,Protected controller/MAC/IPv4 baseline comparison,Gateway/VLAN and full authorized inventory comparison are missing; a baseline match is not complete configuration match.
I086,56,Host.CurrentUtc,Board UTC clock.,Required,Both,implemented,clock,"HostTimeStatus.clock: unix_time_ns, current_utc and derived boot-time estimate","These are local clock observations with explicit limits, not verified UTC or an immutable boot event timestamp."
I087,57,Host.UnixTimeNs,Board UNIX time in nanoseconds.,Required,Both,implemented,clock,"HostTimeStatus.clock: unix_time_ns, current_utc and derived boot-time estimate","These are local clock observations with explicit limits, not verified UTC or an immutable boot event timestamp."
I088,58,Host.UptimeSeconds,Host uptime.,Required,Both,implemented,resources,HostResourceObservation metric HOST_UPTIME_SECONDS,Suspend-inclusive /proc uptime observed; no boot-health inference.
I089,59,Host.BootId,Linux boot identifier.,Required,Both,implemented,bookkeeping,ServerState.boot_id,"Linux boot identifier is process bookkeeping, not an FPGA reset epoch."
I090,60,Host.BootTime,Derived host boot time.,Required,Both,implemented,clock,"HostTimeStatus.clock: unix_time_ns, current_utc and derived boot-time estimate","These are local clock observations with explicit limits, not verified UTC or an immutable boot event timestamp."
I091,61,Host.KernelRelease,Running kernel release.,Required,Both,implemented,host_software,"SystemStatusSnapshot.host_software: kernel release, OS display name/ID/version",No additional producer gap identified; vendor labels are not binary authentication.
I092,62,Host.OperatingSystemVersion,PetaLinux/OS release.,Required,Both,implemented,host_software,"SystemStatusSnapshot.host_software: kernel release, OS display name/ID/version",No additional producer gap identified; vendor labels are not binary authentication.
I093,63,Host.RootFilesystemBuildId,Installed rootfs/release build identity.,Required,Both,partial,host_software,Optional HOST_OS_BASE_BUILD_ID/HOST_OS_IMAGE_ID/HOST_OS_IMAGE_VERSION,Approved installed-rootfs manifest/identity is absent; base/image labels are unavailable on this board and are not substitutes.
I094,64,Host.ActiveBootSlot,Active A/B eMMC runtime slot.,Required,Both,contract-pending,boot,No qualified active-slot or boot-success contract/export,Implement redundancy only after real file-corruption tests prove automatic slot switching or network-accessible U-Boot recovery without JTAG.
I095,65,Host.BootMarkedGood,Current runtime slot has passed the boot-success contract.,Required,Both,contract-pending,boot,No qualified active-slot or boot-success contract/export,Implement redundancy only after real file-corruption tests prove automatic slot switching or network-accessible U-Boot recovery without JTAG.
I096,66,Host.LastResetReason,Best available reboot/reset reason.,Required,Both,missing,boot,No typed reset-reason or configured-and-serviced watchdog observations,Identify actual platform reset/watchdog sources and servicing evidence; service-active is not watchdog health.
I097,67,Host.WatchdogHealthy,Host watchdog is configured and being serviced.,Required,Both,missing,boot,No typed reset-reason or configured-and-serviced watchdog observations,Identify actual platform reset/watchdog sources and servicing evidence; service-active is not watchdog health.
I098,68,Host.NtpSynchronized,System clock is synchronized to the approved time source.,Required,Both,partial,clock,KernelClockObservation plus TimesyncObservation historical sample/offset,Need approved source identity and fresh accepted-sample association; board is unsynchronized with zero processed packets.
I099,69,Host.NtpOffsetMilliseconds,Reported clock offset from the approved source.,Required,Both,partial,clock,KernelClockObservation plus TimesyncObservation historical sample/offset,Need approved source identity and fresh accepted-sample association; board is unsynchronized with zero processed packets.
I100,70,Host.TimeSource,Active time synchronization source.,Required,Both,implemented,clock,TimesyncObservation selected_server_name/selected_server_address under private opt-in,Selected timesync1 peer is not necessarily an approved or currently synchronized source.
I101,71,Host.CpuLoad1Minute,One-minute CPU load average.,Required,Both,implemented,resources,HostResourceObservation load1/MemAvailable/root-free bytes,Free and unprivileged-available bytes are distinct; no invented operational thresholds.
I102,72,Host.MemoryAvailableBytes,Available system memory.,Required,Both,implemented,resources,HostResourceObservation load1/MemAvailable/root-free bytes,Free and unprivileged-available bytes are distinct; no invented operational thresholds.
I103,73,Host.RootFilesystemFreeBytes,Free space on the runtime root filesystem.,Required,Both,implemented,resources,HostResourceObservation load1/MemAvailable/root-free bytes,Free and unprivileged-available bytes are distinct; no invented operational thresholds.
I104,74,Host.RootFilesystemReadOnly,Runtime root filesystem is unexpectedly read-only.,Required,Both,partial,resources,HostResourceObservation metric HOST_ROOT_READ_ONLY,"Actual read-only state is exported, but unexpectedness requires an approved expected mount-state policy."
I105,75,Services.Active,Service is in the active state.,Required,Both,implemented,services,ServiceStatus active_state/sub_state/main_pid/result/exec_main_code/exec_main_status,Eight allow-listed units only; active/exited success is not functional readiness.
I106,76,Services.State,Service active/substate detail.,Required,Both,implemented,services,ServiceStatus active_state/sub_state/main_pid/result/exec_main_code/exec_main_status,Eight allow-listed units only; active/exited success is not functional readiness.
I107,77,Services.MainPid,"Main process identifier, if applicable.",Required,Both,implemented,services,ServiceStatus active_state/sub_state/main_pid/result/exec_main_code/exec_main_status,Eight allow-listed units only; active/exited success is not functional readiness.
I108,78,Services.RestartCount,Cumulative automatic restart count for this boot.,Required,Both,partial,services,ServiceStatus.automatic_restarts from systemd NRestarts,Not a persisted boot-lifetime total; systemd counter resets/reloads and invocation epochs need explicit semantics.
I109,79,Services.StartTime,Time the current service instance started.,Required,Both,partial,services,ServiceStatus.exec_main_start_monotonic_ns and active_enter_monotonic_ns,"Expose the requested DateTime only with a qualified time basis; current fields are monotonic times, not UTC start time."
I110,80,Services.LastExitStatus,Most recent terminal exit status/result.,Required,Both,implemented,services,ServiceStatus active_state/sub_state/main_pid/result/exec_main_code/exec_main_status,Eight allow-listed units only; active/exited success is not functional readiness.
I129,81,Firmware.Loaded,Expected FPGA image is loaded and FPGA manager reports operating.,Required,Both,partial,fpga,FpgaProgrammingStatus plus GatewareIdentityStatus.matches_admitted_profile,Manager operating plus process admission is not proof of the expected release artifact identity/integrity.
I130,82,Firmware.FpgaManagerState,Raw FPGA manager state.,Required,Both,implemented,fpga,FpgaProgrammingStatus.manager_state/manager_quality/manager_observed_monotonic_ns,"Kernel programming bookkeeping, not a continuous fabric heartbeat."
I131,83,Firmware.OverlayName,Active FPGA application/overlay name.,Required,Both,partial,overlay,ConfiguredGatewareApp from /run/daphne-gateware/active.env:APP,Read actual active application/overlay inventory; configured APP is not independently observed xmutil state.
I132,84,Firmware.BuildId,Gateware build identifier extracted from release metadata.,Required,Both,partial,fpga,Observed build_id and matches_admitted_profile; expected build optional at process admission,Expose separately sourced active-release expected build metadata and its comparison; admitted readback is not a release manifest.
I133,85,Firmware.GitCommit,Gateware Git revision read from the configuration register.,Required,Both,implemented,fpga,GatewareIdentityStatus.build_id (zero-extended seven-hex Git prefix),"Abbreviated register Git identity only, not a full commit/signature or artifact digest."
I134,86,Firmware.ExpectedBuildId,Build identity required by the active release/configuration.,Required,Both,partial,fpga,Observed build_id and matches_admitted_profile; expected build optional at process admission,Expose separately sourced active-release expected build metadata and its comparison; admitted readback is not a release manifest.
I135,87,Firmware.BuildMatchesExpected,Running FPGA build matches the release/configuration contract.,Required,Both,partial,fpga,Observed build_id and matches_admitted_profile; expected build optional at process admission,Expose separately sourced active-release expected build metadata and its comparison; admitted readback is not a release manifest.
I136,88,Firmware.RegisterMapVersionMatches,Gateware register-map version matches the board-service schema.,Required,Both,implemented,fpga,ABI admission whitelist and matching bracketed GatewareIdentityStatus,Exact ABI 2.0/2.1/2.2 admission is implemented; new firmware/full-stream hardware remain unqualified.
I137,89,Firmware.PlI2cDevicePresent,PL I2C platform device is present.,Required,Both,missing,i2c,"PL adapter/device discovery exists internally, but no typed PL-device-presence status",Export stable controller-bound platform/device-node observations separately from transaction success.
I138,90,Firmware.PlSpiDevicePresent,PL SPI platform device is present.,Required,Both,missing,i2c,"PL adapter/device discovery exists internally, but no typed PL-device-presence status",Export stable controller-bound platform/device-node observations separately from transaction success.
I139,91,Firmware.ActiveXmutilApplication,Active xmutil accelerator application.,Required,Both,partial,overlay,ConfiguredGatewareApp from /run/daphne-gateware/active.env:APP,Read actual active application/overlay inventory; configured APP is not independently observed xmutil state.
I140,92,Firmware.FirmwareUpdateState,"Idle, Preparing, Programming, Verifying, Succeeded, or Failed.",Required,Both,missing,overlay,No server firmware-update lifecycle observation,Consume an authoritative updater lifecycle record; do not infer transition state from one service result.
I141,93,Firmware.FirmwarePathAvailable,Normal configuration/monitor path remains available.,Required,Both,partial,fpga,FPGA prerequisite checklist and applied FE configuration evidence,No complete normal-configuration/monitor-path availability contract; a successful RPC is insufficient.
I142,94,Firmware.FirmwareArtifactSha256,Digest of the loaded/installed FPGA artifact.,Required,Both,missing,fpga,No loaded/installed bitstream SHA-256 producer in server status,Bind separately hashed installed artifact to observed programming/release context; register Git prefix is not its digest.
I143,95,Firmware.ServerVersion,DAPHNE board-service software version.,Required,Both,implemented,build,ServerBuildInfo.software_version/source_git_commit/committed_source_tree,Unavailable Git provenance remains explicit; metadata is not executable authentication.
I144,96,Firmware.ProtobufSchemaVersion,ControlEnvelope/Protobuf schema compatibility version.,Required,Both,partial,build,ServerBuildInfo.control_envelope_version and exact schema SHA-256 values,Define semantic compatibility version/policy; equal/different schema hashes alone do not establish compatibility.
I145,97,Firmware.GatewareHeartbeat,Monotonic PL heartbeat or watchdog counter.,Required,Both,partial,fpga,"ABI2.1/2.2 native timestamp progress path, unavailable on live ABI2.0",No dedicated gateware heartbeat/watchdog counter; native time progress is not all-fabric liveness and routed/live firmware qualification is pending.
I146,98,Firmware.GatewareFatalFaultLatched,Latched fatal gateware error state.,Required,Both,partial,fpga,Sampled programming STAT configuration error flags,No complete latched fatal application/gateware-fault export; configuration flags are a narrower scope.
I147,99,Firmware.GatewareResetReason,Last gateware reset cause.,Required,Both,missing,fpga,No gateware reset-cause register/export,Needs firmware-supported reset-cause/epoch semantics and actual routed/live evidence.
I148,100,Firmware.ConfigurationReady,Analog/front-end configuration path has reached a stable ready state.,Required,Both,partial,bookkeeping,applied_configuration_valid and !configuration_in_progress; front_end_configuration health check,Executed configuration evidence is not direct stable analog/front-end readiness readback.
I149,101,RPU.Available,RPU/remoteproc control backend is available.,Conditional on deployed RPU profile,Both; only if RPU is installed,missing,rpu,No RPU status producer/RPC in deployed server,"Conditional requirement: establish deployed RPU profile, ABI, read-only health/queue/fault sources and test on that profile."
I150,102,RPU.Running,RPU firmware is running.,Conditional on deployed RPU profile,Both; only if RPU is installed,missing,rpu,No RPU status producer/RPC in deployed server,"Conditional requirement: establish deployed RPU profile, ABI, read-only health/queue/fault sources and test on that profile."
I151,103,RPU.Firmware,RPU firmware image name/version.,Conditional on deployed RPU profile,Both; only if RPU is installed,missing,rpu,No RPU status producer/RPC in deployed server,"Conditional requirement: establish deployed RPU profile, ABI, read-only health/queue/fault sources and test on that profile."
I152,104,RPU.Heartbeat,Monotonic RPU safety/control heartbeat.,Conditional on deployed RPU profile,Both; only if RPU is installed,missing,rpu,No RPU status producer/RPC in deployed server,"Conditional requirement: establish deployed RPU profile, ABI, read-only health/queue/fault sources and test on that profile."
I153,105,RPU.LastFault,Most recent RPU fault detail.,Conditional on deployed RPU profile,Both; only if RPU is installed,missing,rpu,No RPU status producer/RPC in deployed server,"Conditional requirement: establish deployed RPU profile, ABI, read-only health/queue/fault sources and test on that profile."
I154,106,RPU.AbiVersion,RPU wire ABI version accepted by the Linux board service.,Conditional on deployed RPU profile,Both; only if RPU is installed,missing,rpu,No RPU status producer/RPC in deployed server,"Conditional requirement: establish deployed RPU profile, ABI, read-only health/queue/fault sources and test on that profile."
I155,107,RPU.InterlockReady,RPU-side voltage/current/temperature/communication preconditions allow AFE writes.,Conditional on deployed RPU profile,Both; only if RPU is installed,missing,rpu,No RPU status producer/RPC in deployed server,"Conditional requirement: establish deployed RPU profile, ABI, read-only health/queue/fault sources and test on that profile."
I156,108,RPU.FaultCode,Structured current RPU fault bitmap/code.,Conditional on deployed RPU profile,Both; only if RPU is installed,missing,rpu,No RPU status producer/RPC in deployed server,"Conditional requirement: establish deployed RPU profile, ABI, read-only health/queue/fault sources and test on that profile."
I157,109,RPU.CommandQueueDepth,Bounded RPU command queue occupancy.,Conditional on deployed RPU profile,Both; only if RPU is installed,missing,rpu,No RPU status producer/RPC in deployed server,"Conditional requirement: establish deployed RPU profile, ABI, read-only health/queue/fault sources and test on that profile."
I158,110,RPU.LastReplySequence,Sequence number of the most recent completed RPU command.,Conditional on deployed RPU profile,Both; only if RPU is installed,missing,rpu,No RPU status producer/RPC in deployed server,"Conditional requirement: establish deployed RPU profile, ABI, read-only health/queue/fault sources and test on that profile."
I159,111,I2C Bus.Present,Linux I2C adapter device node exists.,Required,Both,missing,i2c,I2CPortStatus device/bus/present exists in schema but is never populated,Add stable adapter/path inventory with quality; existence alone is not functional health.
I160,112,I2C Bus.Path,Linux I2C adapter path.,Required,Both,missing,i2c,I2CPortStatus device/bus/present exists in schema but is never populated,Add stable adapter/path inventory with quality; existence alone is not functional health.
I161,113,I2C Bus.Functional,A bounded non-disruptive health transaction succeeds.,Required,Both,partial,i2c,Bounded targeted carrier/SFP/regulator transactions provide device-specific results,No adapter-level qualified non-disruptive health transaction/status; avoid broad scans and inappropriate probing.
I162,114,I2C Bus.Owner,Process/RPU component currently serializing access.,Required,Both,missing,i2c,Internal bus mutexes and configuration flags only,Export actual scoped serializer ownership and in-progress state; do not label mutex activity as authenticated RPU/process ownership.
I163,115,I2C Bus.Busy,A serialized I2C transaction is in progress.,Required,Both,missing,i2c,Internal bus mutexes and configuration flags only,Export actual scoped serializer ownership and in-progress state; do not label mutex activity as authenticated RPU/process ownership.
I164,116,I2C Bus.LastSuccess,Time of the last successful health transaction.,Required,Both,missing,i2c,No boot-lifetime bus success/error/timeout/recovery counters,"Define transaction event coverage, persistence/epoch and timeout/recovery distinctions; never invent zero history."
I165,117,I2C Bus.ErrorCount,Cumulative transaction errors for this boot.,Required,Both,missing,i2c,No boot-lifetime bus success/error/timeout/recovery counters,"Define transaction event coverage, persistence/epoch and timeout/recovery distinctions; never invent zero history."
I166,118,I2C Bus.TimeoutCount,Cumulative transaction timeouts for this boot.,Required,Both,missing,i2c,No boot-lifetime bus success/error/timeout/recovery counters,"Define transaction event coverage, persistence/epoch and timeout/recovery distinctions; never invent zero history."
I167,119,I2C Bus.RecoveryCount,Cumulative bus recoveries for this boot.,Required,Both,missing,i2c,No boot-lifetime bus success/error/timeout/recovery counters,"Define transaction event coverage, persistence/epoch and timeout/recovery distinctions; never invent zero history."
I168,120,I2C Device.Name,Stable device name.,Required,Both,partial,i2c,Named device-specific carrier/SFP/regulator observations; internal driver identity discovery,No complete typed per-device inventory/driver/success ledger across all expected devices; a NACK is not absence.
I169,121,I2C Device.Present,Expected I2C address responds/is registered.,Required,Both,partial,i2c,Named device-specific carrier/SFP/regulator observations; internal driver identity discovery,No complete typed per-device inventory/driver/success ledger across all expected devices; a NACK is not absence.
I170,122,I2C Device.Driver,Bound Linux driver or board-service driver.,Required,Both,partial,i2c,Named device-specific carrier/SFP/regulator observations; internal driver identity discovery,No complete typed per-device inventory/driver/success ledger across all expected devices; a NACK is not absence.
I171,123,I2C Device.Status,Bounded device-specific health detail.,Required,Both,partial,i2c,Named device-specific carrier/SFP/regulator observations; internal driver identity discovery,No complete typed per-device inventory/driver/success ledger across all expected devices; a NACK is not absence.
